url,weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart,year,month,day
http://www.billboard.com/charts/hot-100/1958-12-13,12/13/58,83,RUN RUDOLPH RUN,Chuck Berry,Run Rudolph RunChuck Berry,1,NA,69,3,1958,12,13
http://www.billboard.com/charts/hot-100/1958-12-20,12/20/58,57,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,1,NA,29,19,1958,12,20
http://www.billboard.com/charts/hot-100/1958-12-20,12/20/58,73,RUN RUDOLPH RUN,Chuck Berry,Run Rudolph RunChuck Berry,1,83,69,3,1958,12,20
http://www.billboard.com/charts/hot-100/1958-12-20,12/20/58,86,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,1,NA,12,13,1958,12,20
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/58,44,GREEN CHRI$TMA$,Stan Freberg,Green Chri$tma$Stan Freberg,1,NA,44,2,1958,12,27
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/58,66,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,1,86,12,13,1958,12,27
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/58,69,RUN RUDOLPH RUN,Chuck Berry,Run Rudolph RunChuck Berry,1,73,69,3,1958,12,27
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/58,35,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,1,57,29,19,1958,12,27
http://www.billboard.com/charts/hot-100/1959-01-03,1/3/59,45,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,1,35,29,19,1959,1,3
http://www.billboard.com/charts/hot-100/1959-01-03,1/3/59,53,GREEN CHRI$TMA$,Stan Freberg,Green Chri$tma$Stan Freberg,1,44,44,2,1959,1,3
http://www.billboard.com/charts/hot-100/1959-01-10,1/10/59,70,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,1,45,29,19,1959,1,10
http://www.billboard.com/charts/hot-100/1959-12-05,12/5/59,83,THE HAPPY REINDEER,"Dancer, Prancer And Nervous","The Happy ReindeerDancer, Prancer And Nervous",1,NA,34,6,1959,12,5
http://www.billboard.com/charts/hot-100/1959-12-12,12/12/59,89,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,1,NA,39,15,1959,12,12
http://www.billboard.com/charts/hot-100/1959-12-12,12/12/59,80,THE HAPPY REINDEER,"Dancer, Prancer And Nervous","The Happy ReindeerDancer, Prancer And Nervous",1,83,34,6,1959,12,12
http://www.billboard.com/charts/hot-100/1959-12-19,12/19/59,76,THE HAPPY REINDEER,"Dancer, Prancer And Nervous","The Happy ReindeerDancer, Prancer And Nervous",1,80,34,6,1959,12,19
http://www.billboard.com/charts/hot-100/1959-12-19,12/19/59,96,THIS TIME OF THE YEAR,Brook Benton,This Time Of The YearBrook Benton,1,NA,66,5,1959,12,19
http://www.billboard.com/charts/hot-100/1959-12-19,12/19/59,68,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,1,89,39,15,1959,12,19
http://www.billboard.com/charts/hot-100/1959-12-26,12/26/59,59,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,2,NA,12,13,1959,12,26
http://www.billboard.com/charts/hot-100/1959-12-26,12/26/59,77,THIS TIME OF THE YEAR,Brook Benton,This Time Of The YearBrook Benton,1,96,66,5,1959,12,26
http://www.billboard.com/charts/hot-100/1959-12-26,12/26/59,34,THE HAPPY REINDEER,"Dancer, Prancer And Nervous","The Happy ReindeerDancer, Prancer And Nervous",1,76,34,6,1959,12,26
http://www.billboard.com/charts/hot-100/1959-12-26,12/26/59,41,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,1,68,39,15,1959,12,26
http://www.billboard.com/charts/hot-100/1960-01-02,1/2/60,45,THE HAPPY REINDEER,"Dancer, Prancer And Nervous","The Happy ReindeerDancer, Prancer And Nervous",1,34,34,6,1960,1,2
http://www.billboard.com/charts/hot-100/1960-01-02,1/2/60,61,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,1,41,39,15,1960,1,2
http://www.billboard.com/charts/hot-100/1960-01-02,1/2/60,75,THIS TIME OF THE YEAR,Brook Benton,This Time Of The YearBrook Benton,1,77,66,5,1960,1,2
http://www.billboard.com/charts/hot-100/1960-01-09,1/9/60,70,THIS TIME OF THE YEAR,Brook Benton,This Time Of The YearBrook Benton,1,75,66,5,1960,1,9
http://www.billboard.com/charts/hot-100/1960-01-09,1/9/60,62,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,1,61,39,15,1960,1,9
http://www.billboard.com/charts/hot-100/1960-01-09,1/9/60,93,THE HAPPY REINDEER,"Dancer, Prancer And Nervous","The Happy ReindeerDancer, Prancer And Nervous",1,45,34,6,1960,1,9
http://www.billboard.com/charts/hot-100/1960-01-16,1/16/60,66,THIS TIME OF THE YEAR,Brook Benton,This Time Of The YearBrook Benton,1,70,66,5,1960,1,16
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/60,66,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,2,NA,39,15,1960,12,10
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/60,100,THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU),Nat King Cole,The Christmas Song (Merry Christmas To You)Nat King Cole,1,NA,38,8,1960,12,10
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/60,64,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,1,NA,14,18,1960,12,10
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/60,55,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,3,NA,12,13,1960,12,10
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/60,69,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,2,NA,29,19,1960,12,10
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,64,SILENT NIGHT,Bing Crosby,Silent NightBing Crosby,1,NA,54,2,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,46,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,2,69,29,19,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,26,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,1,64,14,18,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,78,TWISTIN' BELLS,Santo & Johnny,Twistin' BellsSanto & Johnny,1,NA,49,3,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,89,CHRISTMAS AULD LANG SYNE,Bobby Darin,Christmas Auld Lang SyneBobby Darin,1,NA,51,3,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,32,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,3,55,12,13,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,45,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,2,66,39,15,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,80,THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU),Nat King Cole,The Christmas Song (Merry Christmas To You)Nat King Cole,1,100,38,8,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,97,BLUE CHRISTMAS,The Browns Featuring Jim Edward Brown,Blue ChristmasThe Browns Featuring Jim Edward Brown,1,NA,97,1,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,96,WHITE CHRISTMAS,The Drifters Featuring Clyde McPhatter And Bill Pinkney,White ChristmasThe Drifters Featuring Clyde McPhatter And Bill Pinkney,1,NA,88,2,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/60,61,TWISTIN' BELLS,Santo & Johnny,Twistin' BellsSanto & Johnny,1,78,49,3,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/60,14,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,1,26,14,18,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/60,26,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,3,32,12,13,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/60,36,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,2,46,29,19,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/60,60,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,2,45,39,15,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/60,54,SILENT NIGHT,Bing Crosby,Silent NightBing Crosby,1,64,54,2,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/60,95,CHILD OF GOD,Bobby Darin,Child Of GodBobby Darin,1,NA,95,1,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/60,58,CHRISTMAS AULD LANG SYNE,Bobby Darin,Christmas Auld Lang SyneBobby Darin,1,89,51,3,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-31,12/31/60,18,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,1,14,14,18,1960,12,31
http://www.billboard.com/charts/hot-100/1960-12-31,12/31/60,49,TWISTIN' BELLS,Santo & Johnny,Twistin' BellsSanto & Johnny,1,61,49,3,1960,12,31
http://www.billboard.com/charts/hot-100/1960-12-31,12/31/60,51,CHRISTMAS AULD LANG SYNE,Bobby Darin,Christmas Auld Lang SyneBobby Darin,1,58,51,3,1960,12,31
http://www.billboard.com/charts/hot-100/1961-11-25,11/25/61,99,LITTLE ALTAR BOY,Vic Dana,Little Altar BoyVic Dana,1,NA,45,8,1961,11,25
http://www.billboard.com/charts/hot-100/1961-12-02,12/2/61,78,LITTLE ALTAR BOY,Vic Dana,Little Altar BoyVic Dana,1,99,45,8,1961,12,2
http://www.billboard.com/charts/hot-100/1961-12-09,12/9/61,71,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,Jingle Bell RockBobby Rydell/Chubby Checker,1,NA,21,7,1961,12,9
http://www.billboard.com/charts/hot-100/1961-12-09,12/9/61,73,BABY'S FIRST CHRISTMAS,Connie Francis,Baby's First ChristmasConnie Francis,1,NA,26,5,1961,12,9
http://www.billboard.com/charts/hot-100/1961-12-09,12/9/61,57,LITTLE ALTAR BOY,Vic Dana,Little Altar BoyVic Dana,1,78,45,8,1961,12,9
http://www.billboard.com/charts/hot-100/1961-12-09,12/9/61,85,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,2,NA,14,18,1961,12,9
http://www.billboard.com/charts/hot-100/1961-12-09,12/9/61,68,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,3,NA,29,19,1961,12,9
http://www.billboard.com/charts/hot-100/1961-12-09,12/9/61,66,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,4,NA,12,13,1961,12,9
http://www.billboard.com/charts/hot-100/1961-12-16,12/16/61,51,LITTLE ALTAR BOY,Vic Dana,Little Altar BoyVic Dana,1,57,45,8,1961,12,16
http://www.billboard.com/charts/hot-100/1961-12-16,12/16/61,63,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,3,NA,39,15,1961,12,16
http://www.billboard.com/charts/hot-100/1961-12-16,12/16/61,84,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,2,85,14,18,1961,12,16
http://www.billboard.com/charts/hot-100/1961-12-16,12/16/61,54,BABY'S FIRST CHRISTMAS,Connie Francis,Baby's First ChristmasConnie Francis,1,73,26,5,1961,12,16
http://www.billboard.com/charts/hot-100/1961-12-16,12/16/61,58,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,3,68,29,19,1961,12,16
http://www.billboard.com/charts/hot-100/1961-12-16,12/16/61,45,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,Jingle Bell RockBobby Rydell/Chubby Checker,1,71,21,7,1961,12,16
http://www.billboard.com/charts/hot-100/1961-12-16,12/16/61,33,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,4,66,12,13,1961,12,16
http://www.billboard.com/charts/hot-100/1961-12-23,12/23/61,49,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,3,58,29,19,1961,12,23
http://www.billboard.com/charts/hot-100/1961-12-23,12/23/61,27,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,Jingle Bell RockBobby Rydell/Chubby Checker,1,45,21,7,1961,12,23
http://www.billboard.com/charts/hot-100/1961-12-23,12/23/61,58,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,2,84,14,18,1961,12,23
http://www.billboard.com/charts/hot-100/1961-12-23,12/23/61,85,PLEASE COME HOME FOR CHRISTMAS,Charles Brown,Please Come Home For ChristmasCharles Brown,1,NA,76,2,1961,12,23
http://www.billboard.com/charts/hot-100/1961-12-23,12/23/61,20,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,4,33,12,13,1961,12,23
http://www.billboard.com/charts/hot-100/1961-12-23,12/23/61,47,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,3,63,39,15,1961,12,23
http://www.billboard.com/charts/hot-100/1961-12-23,12/23/61,43,BABY'S FIRST CHRISTMAS,Connie Francis,Baby's First ChristmasConnie Francis,1,54,26,5,1961,12,23
http://www.billboard.com/charts/hot-100/1961-12-23,12/23/61,48,LITTLE ALTAR BOY,Vic Dana,Little Altar BoyVic Dana,1,51,45,8,1961,12,23
http://www.billboard.com/charts/hot-100/1961-12-30,12/30/61,21,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,Jingle Bell RockBobby Rydell/Chubby Checker,1,27,21,7,1961,12,30
http://www.billboard.com/charts/hot-100/1961-12-30,12/30/61,41,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,3,49,29,19,1961,12,30
http://www.billboard.com/charts/hot-100/1961-12-30,12/30/61,76,PLEASE COME HOME FOR CHRISTMAS,Charles Brown,Please Come Home For ChristmasCharles Brown,1,85,76,2,1961,12,30
http://www.billboard.com/charts/hot-100/1961-12-30,12/30/61,50,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,2,58,14,18,1961,12,30
http://www.billboard.com/charts/hot-100/1961-12-30,12/30/61,39,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,3,47,39,15,1961,12,30
http://www.billboard.com/charts/hot-100/1961-12-30,12/30/61,26,BABY'S FIRST CHRISTMAS,Connie Francis,Baby's First ChristmasConnie Francis,1,43,26,5,1961,12,30
http://www.billboard.com/charts/hot-100/1961-12-30,12/30/61,12,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,4,20,12,13,1961,12,30
http://www.billboard.com/charts/hot-100/1961-12-30,12/30/61,45,LITTLE ALTAR BOY,Vic Dana,Little Altar BoyVic Dana,1,48,45,8,1961,12,30
http://www.billboard.com/charts/hot-100/1962-01-06,1/6/62,39,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,3,47,39,15,1962,1,6
http://www.billboard.com/charts/hot-100/1962-01-06,1/6/62,45,LITTLE ALTAR BOY,Vic Dana,Little Altar BoyVic Dana,1,48,45,8,1962,1,6
http://www.billboard.com/charts/hot-100/1962-01-06,1/6/62,26,BABY'S FIRST CHRISTMAS,Connie Francis,Baby's First ChristmasConnie Francis,1,43,26,5,1962,1,6
http://www.billboard.com/charts/hot-100/1962-01-06,1/6/62,21,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,Jingle Bell RockBobby Rydell/Chubby Checker,1,27,21,7,1962,1,6
http://www.billboard.com/charts/hot-100/1962-01-06,1/6/62,50,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,2,58,14,18,1962,1,6
http://www.billboard.com/charts/hot-100/1962-01-06,1/6/62,12,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,4,20,12,13,1962,1,6
http://www.billboard.com/charts/hot-100/1962-01-06,1/6/62,41,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,3,49,29,19,1962,1,6
http://www.billboard.com/charts/hot-100/1962-01-06,1/6/62,76,PLEASE COME HOME FOR CHRISTMAS,Charles Brown,Please Come Home For ChristmasCharles Brown,1,85,76,2,1962,1,6
http://www.billboard.com/charts/hot-100/1962-01-13,1/13/62,71,BABY'S FIRST CHRISTMAS,Connie Francis,Baby's First ChristmasConnie Francis,1,26,26,5,1962,1,13
http://www.billboard.com/charts/hot-100/1962-01-13,1/13/62,48,LITTLE ALTAR BOY,Vic Dana,Little Altar BoyVic Dana,1,45,45,8,1962,1,13
http://www.billboard.com/charts/hot-100/1962-01-13,1/13/62,23,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,Jingle Bell RockBobby Rydell/Chubby Checker,1,21,21,7,1962,1,13
http://www.billboard.com/charts/hot-100/1962-01-20,1/20/62,51,LITTLE ALTAR BOY,Vic Dana,Little Altar BoyVic Dana,1,48,45,8,1962,1,20
http://www.billboard.com/charts/hot-100/1962-12-08,12/8/62,80,MONSTERS' HOLIDAY,"Bobby ""Boris"" Pickett And The Crypt-Kickers","Monsters' HolidayBobby ""Boris"" Pickett And The Crypt-Kickers",1,NA,30,6,1962,12,8
http://www.billboard.com/charts/hot-100/1962-12-08,12/8/62,92,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,4,NA,39,15,1962,12,8
http://www.billboard.com/charts/hot-100/1962-12-08,12/8/62,99,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,4,NA,29,19,1962,12,8
http://www.billboard.com/charts/hot-100/1962-12-15,12/15/62,59,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,4,92,39,15,1962,12,15
http://www.billboard.com/charts/hot-100/1962-12-15,12/15/62,89,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,3,NA,14,18,1962,12,15
http://www.billboard.com/charts/hot-100/1962-12-15,12/15/62,75,THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU),Nat King Cole,The Christmas Song (Merry Christmas To You)Nat King Cole,2,NA,38,8,1962,12,15
http://www.billboard.com/charts/hot-100/1962-12-15,12/15/62,70,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,5,NA,12,13,1962,12,15
http://www.billboard.com/charts/hot-100/1962-12-15,12/15/62,77,SANTA CLAUS IS WATCHING YOU,Ray Stevens,Santa Claus Is Watching YouRay Stevens,1,NA,45,3,1962,12,15
http://www.billboard.com/charts/hot-100/1962-12-15,12/15/62,57,MONSTERS' HOLIDAY,"Bobby ""Boris"" Pickett And The Crypt-Kickers","Monsters' HolidayBobby ""Boris"" Pickett And The Crypt-Kickers",1,80,30,6,1962,12,15
http://www.billboard.com/charts/hot-100/1962-12-15,12/15/62,87,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,4,99,29,19,1962,12,15
http://www.billboard.com/charts/hot-100/1962-12-15,12/15/62,97,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,Jingle Bell RockBobby Rydell/Chubby Checker,2,NA,21,7,1962,12,15
http://www.billboard.com/charts/hot-100/1962-12-22,12/22/62,55,SANTA CLAUS IS WATCHING YOU,Ray Stevens,Santa Claus Is Watching YouRay Stevens,1,77,45,3,1962,12,22
http://www.billboard.com/charts/hot-100/1962-12-22,12/22/62,92,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,Jingle Bell RockBobby Rydell/Chubby Checker,2,97,21,7,1962,12,22
http://www.billboard.com/charts/hot-100/1962-12-22,12/22/62,59,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,4,87,29,19,1962,12,22
http://www.billboard.com/charts/hot-100/1962-12-22,12/22/62,67,THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU),Nat King Cole,The Christmas Song (Merry Christmas To You)Nat King Cole,2,75,38,8,1962,12,22
http://www.billboard.com/charts/hot-100/1962-12-22,12/22/62,64,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,3,89,14,18,1962,12,22
http://www.billboard.com/charts/hot-100/1962-12-22,12/22/62,47,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,4,59,39,15,1962,12,22
http://www.billboard.com/charts/hot-100/1962-12-22,12/22/62,40,MONSTERS' HOLIDAY,"Bobby ""Boris"" Pickett And The Crypt-Kickers","Monsters' HolidayBobby ""Boris"" Pickett And The Crypt-Kickers",1,57,30,6,1962,12,22
http://www.billboard.com/charts/hot-100/1962-12-22,12/22/62,88,WHITE CHRISTMAS,The Drifters Featuring Clyde McPhatter And Bill Pinkney,White ChristmasThe Drifters Featuring Clyde McPhatter And Bill Pinkney,2,NA,88,2,1962,12,22
http://www.billboard.com/charts/hot-100/1962-12-22,12/22/62,46,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,5,70,12,13,1962,12,22
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/62,38,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,5,46,12,13,1962,12,29
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/62,31,MONSTERS' HOLIDAY,"Bobby ""Boris"" Pickett And The Crypt-Kickers","Monsters' HolidayBobby ""Boris"" Pickett And The Crypt-Kickers",1,40,30,6,1962,12,29
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/62,45,SANTA CLAUS IS WATCHING YOU,Ray Stevens,Santa Claus Is Watching YouRay Stevens,1,55,45,3,1962,12,29
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/62,56,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,4,59,29,19,1962,12,29
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/62,65,THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU),Nat King Cole,The Christmas Song (Merry Christmas To You)Nat King Cole,2,67,38,8,1962,12,29
