week,Santa Tell Me,All I Want For Christmas is You,Last Christmas,It's Beginning to Look a Lot Like Christmas,Rockin' Around the Christmas Tree
2017-12-01,999514,2759962,1830598,1117987,921481
2017-12-02,1150459,3145919,2181254,1258973,1106590
2017-12-03,1238907,3216235,2323958,1440761,1127283
2017-12-04,1048136,2629693,1799084,1146898,958877
2017-12-05,1026055,2620104,1784062,1114278,917552
2017-12-06,989733,2630111,1816212,1056601,910072
2017-12-07,987966,2682297,1797248,1004594,937567
2017-12-08,1107956,3091475,2121152,1206078,1069630
2017-12-09,1310579,3646794,2564005,1446252,1319615
2017-12-10,1421892,3506287,2542487,1568444,1317966
2017-12-11,1205509,2775593,1909890,1262792,1094334
2017-12-12,1180267,2720747,1869064,1220921,1023398
2017-12-13,1135736,2768504,1911089,1210292,1003887
2017-12-14,1138959,2886430,2001296,1193887,1029301
2017-12-15,1155170,3169712,2156377,1291174,1108772
2017-12-16,1311944,3648347,2527814,1458989,1254331
2017-12-17,1233161,3356225,2347993,1461019,1205350
2017-12-18,1142651,2923650,2008002,1308866,1137733
2017-12-19,1169199,3077592,2101005,1395154,1224414
2017-12-20,1186376,3312544,2277230,1503738,1250977
2017-12-21,1428575,3675940,2688086,1638408,1542540
2017-12-22,1819767,4355458,3308262,1951352,1795769
2017-12-23,2139080,5023033,3899081,2328041,2053242
2017-12-24,3710487,8069105,6485447,4183203,3210893
2017-12-25,2648145,6467590,5122502,3395172,3589792
2017-12-26,886497,1924430,1486147,906359,761942
2017-12-27,0,967135,687126,0,0
2017-12-28,,664059,0,,
2017-12-29,,485353,0,,